country,year_month,monthly_total
Bangladesh,2020-01-01,1700737
Bangladesh,2020-02-01,1224594
Bangladesh,2020-03-01,1277906
Bangladesh,2020-04-01,960576
Bangladesh,2020-05-01,538927
Bangladesh,2020-06-01,538907
Bangladesh,2020-07-01,868946
Bangladesh,2020-08-01,1228014
Bangladesh,2020-09-01,950568
Bangladesh,2020-10-01,1226608
Bangladesh,2020-11-01,1143568
Bangladesh,2020-12-01,1404805
Bangladesh,2021-01-01,1413479
Bangladesh,2021-02-01,1659959
Bangladesh,2021-03-01,1739006
Bangladesh,2021-04-01,1511078
Bangladesh,2021-05-01,2075583
Bangladesh,2021-06-01,2152606
Bangladesh,2021-07-01,1787525
Bangladesh,2021-08-01,1949637
Bangladesh,2021-09-01,2224504
Bangladesh,2021-10-01,1941283
Bangladesh,2021-11-01,2281120
Bangladesh,2021-12-01,2859058
Bangladesh,2022-01-01,2277488
Bangladesh,2022-02-01,2443940
Bangladesh,2022-03-01,3316603
Bangladesh,2022-04-01,3000841
Bangladesh,2022-05-01,2879211
Bangladesh,2022-06-01,2975792
Bangladesh,2022-07-01,2111397
Bangladesh,2022-08-01,2868739
Bangladesh,2022-09-01,2324921
Bangladesh,2022-10-01,2254411
Bangladesh,2022-11-01,1630719
Bangladesh,2022-12-01,1994177
Bangladesh,2023-01-01,2275763
Bangladesh,2023-02-01,1555006
Bangladesh,2023-03-01,1665779
Bangladesh,2023-04-01,1838422
Bangladesh,2023-05-01,1857730
Bangladesh,2023-06-01,1459624
Bangladesh,2023-07-01,2134481
Bangladesh,2023-08-01,1759725
Bangladesh,2023-09-01,1551144
Bangladesh,2023-10-01,1966787
Bangladesh,2023-11-01,1840868
Bangladesh,2023-12-01,1828273
Bangladesh,2024-01-01,1970003
Bangladesh,2024-02-01,2118482
Bangladesh,2024-03-01,2100738
Bangladesh,2024-04-01,2553363
Bangladesh,2024-05-01,2849209
Bangladesh,2024-06-01,1626059
Bangladesh,2024-07-01,3190738
Bangladesh,2024-08-01,2141192
Bangladesh,2024-09-01,2154689
Bangladesh,2024-10-01,2616430
Bangladesh,2024-11-01,2564013
Bangladesh,2024-12-01,2938683
Bangladesh,2025-01-01,3129411
Bangladesh,2025-02-01,3477346
Bangladesh,2025-03-01,3590744
China,2020-01-01,1183675
China,2020-02-01,801251
China,2020-03-01,460781
China,2020-04-01,622136
China,2020-05-01,539542
China,2020-06-01,1052020
China,2020-07-01,1314955
China,2020-08-01,1477183
China,2020-09-01,1286315
China,2020-10-01,1521395
China,2020-11-01,1171703
China,2020-12-01,1051667
China,2021-01-01,1319800
China,2021-02-01,1160515
China,2021-03-01,1261993
China,2021-04-01,922688
China,2021-05-01,1239766
China,2021-06-01,1748626
China,2021-07-01,1746320
China,2021-08-01,1718533
China,2021-09-01,1848531
China,2021-10-01,1648354
China,2021-11-01,1637537
China,2021-12-01,1491287
China,2022-01-01,1639522
China,2022-02-01,1647942
China,2022-03-01,1484653
China,2022-04-01,1140568
China,2022-05-01,1459501
China,2022-06-01,1872893
China,2022-07-01,1907768
China,2022-08-01,1766739
China,2022-09-01,1386351
China,2022-10-01,924300
China,2022-11-01,877716
China,2022-12-01,964287
China,2023-01-01,1027564
China,2023-02-01,794874
China,2023-03-01,822937
China,2023-04-01,899272
China,2023-05-01,1273413
China,2023-06-01,1356051
China,2023-07-01,1404919
China,2023-08-01,1278261
China,2023-09-01,1334050
China,2023-10-01,972407
China,2023-11-01,831400
China,2023-12-01,929337
China,2024-01-01,1587308
China,2024-02-01,1058687
China,2024-03-01,801430
China,2024-04-01,769102
China,2024-05-01,1294558
China,2024-06-01,1404971
China,2024-07-01,1585484
China,2024-08-01,1488465
China,2024-09-01,1551316
China,2024-10-01,1382417
China,2024-11-01,1217933
China,2024-12-01,1145338
China,2025-01-01,1449565
China,2025-02-01,1113877
China,2025-03-01,802494
Honduras,2020-01-01,1646934
Honduras,2020-02-01,2475205
Honduras,2020-03-01,2170015
Honduras,2020-04-01,97318
Honduras,2020-05-01,166626
Honduras,2020-06-01,488377
Honduras,2020-07-01,1164174
Honduras,2020-08-01,1672410
Honduras,2020-09-01,2092363
Honduras,2020-10-01,2691871
Honduras,2020-11-01,1560561
Honduras,2020-12-01,1572945
Honduras,2021-01-01,1292496
Honduras,2021-02-01,1822444
Honduras,2021-03-01,2347396
Honduras,2021-04-01,2041448
Honduras,2021-05-01,2272094
Honduras,2021-06-01,2436436
Honduras,2021-07-01,2509538
Honduras,2021-08-01,2255880
Honduras,2021-09-01,2283156
Honduras,2021-10-01,2151353
Honduras,2021-11-01,2268896
Honduras,2021-12-01,2200381
Honduras,2022-01-01,1536191
Honduras,2022-02-01,2092664
Honduras,2022-03-01,2839559
Honduras,2022-04-01,2239937
Honduras,2022-05-01,2720655
Honduras,2022-06-01,2944507
Honduras,2022-07-01,2663772
Honduras,2022-08-01,2918574
Honduras,2022-09-01,2991946
Honduras,2022-10-01,2651970
Honduras,2022-11-01,3065903
Honduras,2022-12-01,2593532
Honduras,2023-01-01,1171755
Honduras,2023-02-01,2137798
Honduras,2023-03-01,2389372
Honduras,2023-04-01,1632702
Honduras,2023-05-01,2689172
Honduras,2023-06-01,2486251
Honduras,2023-07-01,2018097
Honduras,2023-08-01,2197007
Honduras,2023-09-01,2016324
Honduras,2023-10-01,1975957
Honduras,2023-11-01,1935913
Honduras,2023-12-01,2133385
Honduras,2024-01-01,1802011
Honduras,2024-02-01,2204539
Honduras,2024-03-01,2143184
Honduras,2024-04-01,1924230
Honduras,2024-05-01,2241097
Honduras,2024-06-01,2018941
Honduras,2024-07-01,2052802
Honduras,2024-08-01,2297372
Honduras,2024-09-01,2188325
Honduras,2024-10-01,2070605
Honduras,2024-11-01,2150846
Honduras,2024-12-01,2481781
Honduras,2025-01-01,1295306
Honduras,2025-02-01,1798454
Honduras,2025-03-01,2587403
India,2020-01-01,1428188
India,2020-02-01,1286595
India,2020-03-01,1416616
India,2020-04-01,1414635
India,2020-05-01,220225
India,2020-06-01,340567
India,2020-07-01,810391
India,2020-08-01,1314875
India,2020-09-01,1284980
India,2020-10-01,1417525
India,2020-11-01,1391636
India,2020-12-01,957714
India,2021-01-01,1504786
India,2021-02-01,1371242
India,2021-03-01,1822348
India,2021-04-01,1597147
India,2021-05-01,2097427
India,2021-06-01,1481119
India,2021-07-01,1139946
India,2021-08-01,1444951
India,2021-09-01,1532568
India,2021-10-01,1759711
India,2021-11-01,1853607
India,2021-12-01,2028633
India,2022-01-01,1576090
India,2022-02-01,1591486
India,2022-03-01,2663610
India,2022-04-01,2350689
India,2022-05-01,2156611
India,2022-06-01,1876083
India,2022-07-01,2085612
India,2022-08-01,1502619
India,2022-09-01,1672577
India,2022-10-01,1441146
India,2022-11-01,1220868
India,2022-12-01,1378101
India,2023-01-01,1570464
India,2023-02-01,1312291
India,2023-03-01,1657975
India,2023-04-01,1429331
India,2023-05-01,1488533
India,2023-06-01,1713765
India,2023-07-01,1861517
India,2023-08-01,1592108
India,2023-09-01,1456348
India,2023-10-01,1380102
India,2023-11-01,963492
India,2023-12-01,1199009
India,2024-01-01,1228852
India,2024-02-01,1613657
India,2024-03-01,1716636
India,2024-04-01,1834663
India,2024-05-01,2233560
India,2024-06-01,1795220
India,2024-07-01,1820049
India,2024-08-01,1714282
India,2024-09-01,2122406
India,2024-10-01,2286162
India,2024-11-01,1548764
India,2024-12-01,1466409
India,2025-01-01,1959738
India,2025-02-01,1886683
India,2025-03-01,2175921
Nicaragua,2020-01-01,1393006
Nicaragua,2020-02-01,1634434
Nicaragua,2020-03-01,1607539
Nicaragua,2020-04-01,478091
Nicaragua,2020-05-01,191845
Nicaragua,2020-06-01,796636
Nicaragua,2020-07-01,1185097
Nicaragua,2020-08-01,1574125
Nicaragua,2020-09-01,1580975
Nicaragua,2020-10-01,2187774
Nicaragua,2020-11-01,1475187
Nicaragua,2020-12-01,1220048
Nicaragua,2021-01-01,1390570
Nicaragua,2021-02-01,1537811
Nicaragua,2021-03-01,2078984
Nicaragua,2021-04-01,1704176
Nicaragua,2021-05-01,1584931
Nicaragua,2021-06-01,1860811
Nicaragua,2021-07-01,2341866
Nicaragua,2021-08-01,2067156
Nicaragua,2021-09-01,1555237
Nicaragua,2021-10-01,1302558
Nicaragua,2021-11-01,1553098
Nicaragua,2021-12-01,1491708
Nicaragua,2022-01-01,1419899
Nicaragua,2022-02-01,1398715
Nicaragua,2022-03-01,1655159
Nicaragua,2022-04-01,1405670
Nicaragua,2022-05-01,1406047
Nicaragua,2022-06-01,1581184
Nicaragua,2022-07-01,1579146
Nicaragua,2022-08-01,1510302
Nicaragua,2022-09-01,2016018
Nicaragua,2022-10-01,1748878
Nicaragua,2022-11-01,1963455
Nicaragua,2022-12-01,2174564
Nicaragua,2023-01-01,1681851
Nicaragua,2023-02-01,1544695
Nicaragua,2023-03-01,1828031
Nicaragua,2023-04-01,1011055
Nicaragua,2023-05-01,1202271
Nicaragua,2023-06-01,1800756
Nicaragua,2023-07-01,1767569
Nicaragua,2023-08-01,1811345
Nicaragua,2023-09-01,1947898
Nicaragua,2023-10-01,1803642
Nicaragua,2023-11-01,1712975
Nicaragua,2023-12-01,1488877
Nicaragua,2024-01-01,1700143
Nicaragua,2024-02-01,1845144
Nicaragua,2024-03-01,2004849
Nicaragua,2024-04-01,1747096
Nicaragua,2024-05-01,1800016
Nicaragua,2024-06-01,1394396
Nicaragua,2024-07-01,1431821
Nicaragua,2024-08-01,1951973
Nicaragua,2024-09-01,2022296
Nicaragua,2024-10-01,2458926
Nicaragua,2024-11-01,2079381
Nicaragua,2024-12-01,2422473
Nicaragua,2025-01-01,1914810
Nicaragua,2025-02-01,1595222
Nicaragua,2025-03-01,2402862
Vietnam,2020-01-01,1623712
Vietnam,2020-02-01,1238519
Vietnam,2020-03-01,1517435
Vietnam,2020-04-01,1465128
Vietnam,2020-05-01,720616
Vietnam,2020-06-01,1058711
Vietnam,2020-07-01,1911696
Vietnam,2020-08-01,1639512
Vietnam,2020-09-01,1675777
Vietnam,2020-10-01,1791157
Vietnam,2020-11-01,1668572
Vietnam,2020-12-01,1183117
Vietnam,2021-01-01,1288684
Vietnam,2021-02-01,1419366
Vietnam,2021-03-01,1986981
Vietnam,2021-04-01,1763593
Vietnam,2021-05-01,1991477
Vietnam,2021-06-01,1816003
Vietnam,2021-07-01,1756444
Vietnam,2021-08-01,1859601
Vietnam,2021-09-01,1498163
Vietnam,2021-10-01,1352724
Vietnam,2021-11-01,1371766
Vietnam,2021-12-01,1249878
Vietnam,2022-01-01,1308495
Vietnam,2022-02-01,1453804
Vietnam,2022-03-01,1831076
Vietnam,2022-04-01,1748287
Vietnam,2022-05-01,1717855
Vietnam,2022-06-01,1687214
Vietnam,2022-07-01,1967554
Vietnam,2022-08-01,1805364
Vietnam,2022-09-01,1875593
Vietnam,2022-10-01,1263600
Vietnam,2022-11-01,972322
Vietnam,2022-12-01,945034
Vietnam,2023-01-01,1268103
Vietnam,2023-02-01,975966
Vietnam,2023-03-01,1073081
Vietnam,2023-04-01,1017106
Vietnam,2023-05-01,1435834
Vietnam,2023-06-01,1145489
Vietnam,2023-07-01,1568324
Vietnam,2023-08-01,1614586
Vietnam,2023-09-01,1362476
Vietnam,2023-10-01,1240293
Vietnam,2023-11-01,1011941
Vietnam,2023-12-01,922914
Vietnam,2024-01-01,1057020
Vietnam,2024-02-01,1251658
Vietnam,2024-03-01,1159017
Vietnam,2024-04-01,982639
Vietnam,2024-05-01,1626094
Vietnam,2024-06-01,1365921
Vietnam,2024-07-01,1889169
Vietnam,2024-08-01,1443004
Vietnam,2024-09-01,1882478
Vietnam,2024-10-01,1682159
Vietnam,2024-11-01,1423825
Vietnam,2024-12-01,1243173
Vietnam,2025-01-01,1425956
Vietnam,2025-02-01,1141511
Vietnam,2025-03-01,1533575
